Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
13 March 2003,george.schmidt,157,215,10,Contemporary classic: one of my all-time faves,"FORREST GUMP (1994) **** Tom Hanks, Sally Field, Robin Wright, Gary Sinise, Mykelti Williamson. Brilliantly directed and inspiring comic drama about the truly extraordinary life and times of mentally challenged Forrest Gump (Hanks in the best role of his career won his second Best Actor Oscar in back-to-back winning roles), a simple, honest, and decent man whose childlike innocence is his lucky charm through his altering experiences that span the past two decades flawlessly. Mind-boggling Oscar-winning computerized effects by Industrial Light & Magic has Gump meeting the famous and infamous. Hanks is a wonder (dare you not to get a lump in your throat when it finally registers that he has a child {yes, that's Haley Joel Osment}- watch his face!) and gets fine support especially Wright as the love of his life and Sinise as his best friend (Best Supporting Actor nominee) superior adaptation of Winston Groom's novel by Eric Roth (also an Academy Award recepient) that truly captures lightning in a bottle. Oscars also went to director Robert Zemeckis and for Best Picture. *** One of my all-time favorite flicks. I still cry, particularly Forrest telling Jenny why he loves her so much (""You're my girl!"") and at the gravesite when the birds fly overhead."
23 April 2005,schmimic,204,264,10,Tom Hanks delivers an astounding performance as Forrest Gump.,"Starring: Tom Hanks, Robin Wright, Gary Sinise, Sally Field This was flat out one of the best movies of 1994. It won best picture for a reason, along with a few other Academy Awards. I think one of the tag lines for the movie was, ""The world will never be the same once you've seen it through the eyes of Forrest Gump."" How true. The movie is basically one simple man's journey through life. And what a journey.The movie opens with Forrest (Hanks) sitting at a bus stop, waiting to go see Jenny (Wright) after being apart from her for years. Who is Jenny, you ask? We'll get to that in a minute. Forrest strikes up a conversation or two with the people that come and wait for the bus with him. Or, more accurately, he keeps talking regardless of whether anybody is listening or not. The movie plays out as a flashback, with Forrest taking us through all the major events of his life and narrating them.The flashback starts when Forrest is a little boy, about six years old or so, just at about the age where he should be starting school. We get to take a look at Forrest's childhood as he gets leg braces to straighten out his back, as his momma (Field) fights (and does a few other things) to get him into public school, and as he meets for the first time the love of his life. Jenny. He meets her on the way to school, sitting next to her on the bus, and they strike up a friendship immediately.Eventually we progress to the point where Forrest and Jenny are in high school, and we travel along with Forrest as he makes it onto the football team and gets to go to college. Forrest and Jenny never date, but he's always there to protect her. Anytime he thinks she's in trouble, he rushes to the rescue, ready to beat the ever-loving snot out of anyone who even looks at his Jenny wrong. I think one of my favorite scenes in the movie is when someone is dumb enough to slap Jenny. The film goes slow motion, Forrest's eyes go wide, and he starts charging at this guy like a runaway locomotive, and has the striking force of one too. Watching him beat the crap out of that guy is hilarious.As Forrest grows up and goes through school, college, the army, a Vietnam tour, becomes a ping pong celebrity, a shrimp boat captain, and eventually one of the richest men out there, he also gets to take a few stops in history as the filmmaker gives us his own spin of how he thinks history would have happened if Forrest Gump were there. He gets to meet the President three times, he's the man who exposes the Watergate scandal, he's at the school doors when Governor George Wallace tries to get some Negroes into a white school, and so on and so forth. It's really funny the way they manipulate historical footage to insert Forrest into the events of the past.This is truly a great movie. You'd be a fool to miss it.Bottom Line: 4 out of 4 (own this movie)"
22 November 2009,TheLittleSongbird,40,52,9,Beautiful film,"Forrest Gump, I think is a beautiful film. Never too schmaltzy, but there are some genuine tearjerkers like Forrest at Jenny's grave. The cinematography is stunning, the costumes are lovely and the scenery is gorgeous. The music is also very calm and relaxing, perhaps adding to the tone of this film. The screenplay is well crafted, and the story is simple. But what made this movie was its simplicity; it never tries to be too complex and is consequently moving. The acting is just as impressive; whilst Tom Hanks's accent is a little awkward in places, my only real criticism of this movie, he gives a truly remarkable performance, though I do think Morgan Freeman deserved the Oscar more for Shawshank. Robin Wright gives possibly the best performance of her career, and Sally Field is very dignified as Forrest's mother. The scene stealer though is Gary Sinise as Lieutenant Dan, a very moving and insightful performance. Overall, an extremely good movie, I will admit I wasn't sure whether I would like it, but the simple answer is this, I do. 9/10 Bethany Cox"
14 February 2005,adinutzza2001,471,620,10,why such a low rating???,"What I find completely ridiculous is why this movie, in my opinion one of the best ever, has such a low rating, so I've tried to figure out what some found against it.I noticed that the haters of this movie who make it have a lower rating than it actually deserves mainly argue that it promotes the government's politics of submission: the idea that ""if you're an idiot but you do what you're told then you will be rewarded, but, if you experience life then you're going to die a miserable death."" I'm not an American myself so i don't have any intention to defend the government or anyone else, but I think that the political events witnessed by the character in the movie make many miss the whole substance of the film. I think these bits of history only add to the magic of the film, making Forrest part of a fantastic world that seems so incredibly real though. How can somebody say that Forrest is just an idiot, an ordinary person who does everything that he is told to do? It appears to me that in fact,in his innocence, Forrest does what he feels he has to do,no matter the situations and the people around him, lead only by an inner sense of right. So what actually seems to be special about Forrest is that, regardless of his intelligence, he has the capacity to discover simple truth and life values that all the others around him miss: he tries to save Bubba endangering his own life, he gives Bubba's family money and mainly displays simple goodness in everything he does. So if you haven't yet seen the movie or you were disappointed by it, try watching it without analyzing things that much and just open your heart towards that world. The brilliant humour, the hilarious yet touching acting, the special effects and the uplifting message are totally rewarding."
30 July 2016,ironhorse_iv,4,4,9,Life is like a box of chocolates. You never truly know what you're gonna get. Forrest Gump is amazing!,"Based on the 1986 novel by Winston Groom of the same name; Forrest Gump is about a simple man, named Forrest (Tom Hanks) whom with a low I.Q. who goes through life, accidentally being present at many historic moments, while building success for himself, however, never getting with his true love, Jenny Curran (Robin Wright) which mostly seems to be the only thing, that is eluding him. Without spoiling the movie, too much, this feel-good, financial blockbuster was indeed one of my favorite movies from the 1990s. I still quote, act out, & rewatch this movie, even with the downer tragic ending, this film has. I just can't help, loving it, despite the film changing a lot from the source material, like Gump's core personality and size. I kinda like that, he's not an autistic savant. In my opinion, it would be, too jarring. It would be, really too odd and unrealistic to see him, play chess, while being an astronaut, while people still thinking that he's an idiot. I kinda like that the film primarily focuses on the first eleven chapters of the novel, before skipping ahead to the end of the book. The middle part of the book is truly outrageous with Gump fighting off, cannibals, and becoming a pro-wrestler. That was way too out there to be taken seriously! The careers, he got in the film, seems more grounded with the reality of his character and the story. In addition to skipping some parts of the novel, the film adds several aspects to Gump's life that do not occur in the novel, such as his needing leg braces as a child and his run across the United States. Those changes really did help the film, a lot. This movie was also well shot by Robert Zemeckis. It made great use of its locations. I also love the use of CGI techniques to make it look like Tom Hanks was in some of the archive footage with various historical figures. Most of the visual effects in this film were pretty impressing at the time. Yet, I just wish the voice-dubbing was a little better. It doesn't really match well, with the movement of the long-dead historical figure's lips! While, the movie does have a lot of profanity, sex/nudity, drug use and violence for a PG-13. I think it somewhat works with the rebellions style of the 1960s. I also dig the film soundtrack. Great use of many well-known artists of the 1950s & 1960s. It's really does fit with that era of time. Also, the original music that Alan Silvestri made for the film was also beautiful. It fits some well in the film. Not only did that work, but the acting was outstanding. Tom Hanks was amazing as the title character. In other hands, this dim-witted, guileless, Southern-drawling simpleton hero could had turn into a bumbling yet annoying unlikeable offensive mental retarded stereotype. Instead, Hanks makes the fictional character, Gump seem like a real person with real motives and feelings. He really did deserve the Oscar, despite what some critics make say about his performance. Even the supporting cast was well-done. I love all of the characters ranging from 'Bubba' Blue (Mykelti Williamson) to Mrs. Gump (Sally Fields). I even kinda like Jenny, even when the writers made her, somewhat a horrible selfish trouble-person, who leaves Gump with a kid that grew up to be Haley Joan Osment in one of his first movie roles. Then- who can ever forget, Lt. Dan Taylor? This was Gary Sinise finest role. The character development that they gave him, was heart-breaking, yet hopeful. I love his redemption story. The film has this 'ignorance is bliss' philosophy to it; that makes the movie, fun to watch. The satire on contemporary values, during America's mid-20th century accomplishments is truly funny. The historic 'zelig' style jokes are mostly a hit than a miss to the funny. I also like how ambiguous, Forrest's story, as some people believe that he might be an unreliable narrator who whitewashing American history. Yet, I don't think, it's as racist or sexist as some people think, it is. The film is a lot more positive than that. Forrest is a represented of what is innocence and good about the world. He has this, out right decency about himself. He helps his friends if they're in need, even if some of them, take advanced of his hospitality. Forrest Gump is also a surprisingly spiritual story, well-told. A lot of people has stated out, the relationship between Forrest and Jenny echoes the relationship of Hosea and Gomer in the Old Testament; which in return is about, the relationship between God and man. Hints, the white feather that floats through Forrest's life. The movie is about the question of whether we are masters of our own fate or on a path to a predetermined destiny. Another thing, interesting, is how some people has been noted to see some political interpretations which I kinda have to disagree with. While, it seem like Gump follows a very conservative lifestyle, Jenny's life is full of counter-cultural embrace, complete with drug usage, promiscuity, and antiwar rallies, and that their eventual marriage might be a kind of reconciliation between America's extremes political points; I agree with Hanks, the film was non-political and non-judgmental. Forrest Gump isn't about liberal or conservative values. It's about learning to live with your limitations, while also giving it, everything you got. About the film winning best picture in 1994 over films like 'The Shawshank Redemption' & 'Pulp Fiction', I think the movie deserve it. While, on the surface, those other two films look superior better and more mature. In true, 'Forrest Gump' has just as much to give as those films. Also, it's by far, the more entertaining film of the three. Overall: Forrest Gump is like a box of chocolates. It's super sweet."
19 November 2008,tightspotkilo,47,71,10,An Amazing Movie,"I saw this movie in the theaters back in 1994. When it was released on VHS I obtained that version. I've watched the movie about once every two years since then. This is an amazing movie in any number of ways. One big way it amazes me, is the way which it, as a simple and guileless little story, like a feather wafting in the breeze, nevertheless evokes raw rank hatred and eyeball-bulging, forehead vein-popping, spittle-spewing vitriol from liberals and so-called ""intellectuals"" who are absolutely certain that, like a guided missile, it is seeking them out, intentionally, personally, to insult them with rightwing thoughts and ideas, and by a nitwit character no less. Hahahaha. As if.So let's first thing pop that little pea right out of the shooter. Let's dispense with the bilge of this movie being some kind of sub rosa rightwing plot. Puh-leeeze. This is a mainstream Hollywood production. Robert Zemeckis, Tom Hanks, Sally Field, and Robin Wright Penn are all known Hollywood lefties, liberal devotees who would take the pipe long before allowing themselves to be associated with or be used by anything akin a rightwing movie, let alone be openly and voluntarily involved in making one. Bottom line, this is not a political movie. This is not a movie which is making any kind of political or social statements in any respect. People who think it is doing any of that are just working way too hard over-thinking it all. Period. It's odd because it's really not all that complicated of a thing to understand. Which leads directly to another amazing thing about this movie: it is amazing the way the simple little message the movie is actually sending just sails right over so many people's heads. Amazingly they just don't get it, and based on the comments here they still aren't getting it 14 years later and counting. So if you fall into that category let me help you out.What is the message of Forrest Gump? Stripped to its purest essence, this movie is about loyalty and devotion, particularly to the ones in our lives we love and care about. These are the human values being reinforced. Loyalty. Devotion. Forrest Gump embodies loyalty and devotion. To his mama. To his good best buddy Bubba. To the love of his life, Jenny. To his leader, Lt. Dan. And in the end to Forrest Jr. One by one and all together Forrest sticks by and takes care of his family, friends, and loved ones. This is the thread running through the entire story. This is what carries Forrest to all of the remarkable places he goes along the way.The use of a mentally challenged man as the leading man is a conceit, used to illustrate the point that loyalty and devotion are the most important things in life, trumping everything else. It drives home the point that nothing else really matters anywhere near as much. Indeed, it drives it home with blunt force. Maybe it drives it home too hard for such a simple little point. Maybe this is where the movie's detractors get themselves side-tracked. There are a number of other amazing and remarkable things about this movie. The performances. The special effects. The almost poetic simplicity of the story and the way it is told. See it for all this and more, but please, don't over-think it."
12 June 2011,classicsoncall,14,21,10,"""I just felt like running"".","For anyone who grew up in the turbulent Sixties, ""Forrest Gump"" delivers a clever blend of nostalgia mixed with a uniquely creative view of history as experienced by a presumed to be simpleton. While Tom Hanks' character recalls his life with a slow tangy drawl, he variously entertains and educates a host of passengers waiting for the next bus to their intended destination. Some ignore him, some show interest, one even scorns Gump's tale of getting rich in the shrimping business, only to depart before Forrest has a chance to pull out his copy of Fortune Magazine. Life can be like that for those unwilling to listen and learn, casting doubt instead of exploring the truth and keeping an open mind.I got a kick out of Forrest's string of brushes with greatness - the way he taught Elvis how to shake his hips, his unquestioning response to LBJ's inquiry about his war injury, and the way his war time experience inspired John Lennon to write 'Imagine'. There was also that ingenious sequence in which he meets President Nixon, then inadvertently tips off the Watergate scandal. However the most understated and easiest reference to miss was the clever homage paid to the 1969 film ""Midnight Cowboy"", when Forrest wheels Lieutenant Dan (Gary Sinise) across busy city traffic, and is narrowly missed by a taxi cab. Lt. Dan's response was ""Hey, I'm walkin' here"", just the way Ratso Rizzo did in that earlier film. All that with the 'Everybody Talking at Me' movie theme seamlessly woven in as so many songs of that era were utilized with other aspects of the story.For Forrest Gump, life is not a pretentious path to wealth or fame, but a never ending quest to learn and be a productive human being. Not to mention finding one's own true love. For Forrest, life long friend Jenny (Robin Wright) represents an unfulfilled ideal, one he accepts into his heart while still a young schoolboy and nurturing that relationship platonically throughout his adulthood. For her part, Jenny represents a youthful quest for experiencing life to the fullest, only to make a series of wrong choices that lead her to the brink of suicide. It's fitting that Jenny eventually realizes what Forrest knew all along, that they were made for each other even if outward appearances seemed to dictate otherwise.I've seen this film only a couple times in the past, thinking it was good, but only considering it for it's entertainment value. I guess one of the benefits of getting older is the insight one gains with experiencing life a day at a time and steady as she goes. My viewing of the picture today gave me a greater appreciation for the subtleties offered in the film, and leads me to believe the world would be a better place if there were a little more of Forrest Gump in all of us."
13 October 2018,jjacques1,40,50,10,Forrest Gump (Negative Reviewers are Missing the Point),"I am a long time IMDb fan and first time reviewer. When I am reading through fellow user reviews, I generally find myself gravitating towards reading reviews that hold the opposite of my opinion. If I loved a film, I read the poor reviews and vice versa on the films that didn't resonate with me. I like finding value in an opposite viewpoint.With that said, while I read through the negative reviews of Forrest Gump, I found myself thinking that a number of the reviewers might be missing what I see is a large part of the film's message.Their focus was on the characters' intelligence and lifestyle. I read things like the point of the film was that you would be successful even if you're an idiot like Forrest, as long as you walked a conservative path. If you decided to take the path Jenny's character chose, despite the fact she was more intelligent than Forest, your life would end in disaster.I think the differences between Forrest and Jenny's journeys has nothing to do with the disparity in their intelligence or lifestyle but more with the difference between someone who knows who he truly is versus someone who is searching to find out who they are.I don't think the movie is passing judgement on either person's choices. I don't see Jenny's life ending the way it does as being a failure. Her life had value and she was able to find what she was looking for. Forrest's life was incredible and his love for Jenny was his guiding star. He lived through so many experiences and met so many famous people of that era. He lucked into wealth and at a couple points in the film became famous in his own right. None of that had any real meaning to him. His purpose came from his personal relationships, protecting and doing right by those he loved and his strong sense of right and wrong.Each character's journey (again regardless of intelligence) is representative of the experiences of an entire generation of North Americans."
13 April 2021,simelemontolomeo-56461,4,4,10,You need to watch it again and again.,"I just watched Forrest Gump again, and I didn't unlock my phone like I do with every series or movie I watch. The part where he tells Jenny every magical moment he lived alone and she wanted to be with him and Forrest says ""there you were"", what a movie.It's gonna be almost impossible to be a better movie than this one."
27 November 2014,Horst_In_Translation,8,12,8,"Timeless masterpiece, very unique","20 years after ""Forrest Gump"" came out, I decided to rewatch this one and it was even better than what I remembered from watching it the first time. The film won 6 Academy awards in 1995, including Best Picture, Best Director (Robert Zemeckis, ""Back to the Future""-trilogy, ""Cast Away"" again with Hanks later on) and Best Actor (2nd win in a row for Hanks after ""Philadelphia""). And even if it lost ""Best Score"" to ""The Lion King"", the music, especially the main theme, is nothing short of brilliant. It starts right away as we watch a feather fly towards the film's central character. Visually and acoustically a feast from minute one.Forrest sits on a bench waiting for the bus and tells his story to the other people who are waiting. Thank God he did not know that he could just walk to Jenny, otherwise we may have never found out about his stories. And as diverse as Forrest's life is, as diverse are also the reactions from those people. Some sit quietly, others accuse him of being a liar and the old lady finally is captivated by his story. The interesting thing is that Gump gets out the photo as evidence not before the man (who accuses him of lying) leaves. He could have proved it easily, but he has nothing to prove to anybody. This is the frame of the story. The real action takes place in the stories Gump tells. Some true emotional highlights are included: Bubba's death and the funeral eulogy to Jenny (great HI. reference by the way) at the end. Of course, all the moments with his son (played by the very young Haley Joel Osment) are very much worth watching too. And then there is Gary Sinise who was pretty much on par with Hanks during their comedic and dramatic moments together. He did not win the Oscar, but was at least as deserving as Landau and Jackson. With his character, early on, you could never say if he would develop into a friend to Gump or stay/become a big antagonist. Finally, it turned out to be the former. When they have prostitutes one night at their place, it becomes truly clear for the very first time. Gump serves as a great role model to Sinise's character for all he achieved despite his limitations.This is not the greatest movie ever made, but there is a certain charm to it that makes it so unique in movie history, possibly because the central character is at least as unique. And finally, there is the Forrest-Jenny love story which is sweet from start to finish and one of the main reasons why this film will make you laugh, will make you cry and will make you feel for Forrest for its almost 2.5 hours . And even in the almost impossible case that you will not remain interested in Forrest's story, this film is very much worth watching alone for all the references to past decades (most of all in terms of the movements in society, music and politics). ""Forrest Gump"" is a must-watch and that's all I have to say about that."
