Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
27 May 2019,dannton,1142,1474,6,the fighting scenes get dull after a while,"This franchise has obviously become a parody. It seems that a very high number of the World's population serve the High Table. They're everywhere, behind every corner, but they cannot kill one single man, even if they stab, shoot, throw him from the hotel roof or hit him with a car at full speed. And the Head of this ""powerful organization"" lives among camels in an African desert ... There are some entertaining moments, however the numerous fighting scenes become dull after a while."
7 February 2020,BA_Harrison,33,50,4,More of the same. Yawn!,"Assassin John Wick is referred to as Baba Yaga in this third chapter, suggesting that he is, in fact, a supernatural being; his ability to evade death, appear and disappear like a ninja from a Godfrey Ho film, and move with lightning fast reflexes despite being in his mid-fifties confirms this fact, in my opinion. Unfortunately, Wick's invincibility means that the many action scenes in Parabellum are largely devoid of excitement, the only outcome being that Wick is still alive and all of his enemies are dead.Chapter 2 set things up for a potentially entertaining part three, ending with John Wick (Keanu Reeves) on the run, hunted by the world's top assassins, all keen to collect the bounty on his head. This film should have been a whole lot of outrageously OTT comic-book fun, with an array of bizarre and unique killers, each with their own distinctive look and style; it certainly starts off on the right foot with a few of fun fight scenes (one against a tall guy in a library, another in a shop full of knives, and one in a stable that makes good use of the horses), but it all goes downhill rapidly after that.A pack of trained dogs easily outshine their human co-stars in one skirmish, a fight involving samurai swords and motorbikes blatantly borrows from The Villainess (2017), and a battle between Wick and Mark Dacascos in a glass room is frustratingly tedious (despite Dacascos's impressive martial arts skills). I blame director Chad Stahelski, who hasn't progressed as a film-maker since part one, content to simply give fans more of the same. The preposterous ending is the icing on the cake, John Wick surviving falling several stories from the roof of a building. Enough already!5/10, minus one point for the retro-technology used by the tattooed administrators working for the 'high table': Commodore 64 keyboards, green CRT monitors, rubber stamps, rotary dial phones. Seriously, what is the point?"
23 May 2019,FrenchEddieFelson,37,65,7,"Si vis pacem, para bellum ... cum Luger P08 Parabellum","In the immediate lineage of the second opus, this new one should satisfy all the fans of the John Wick saga (I'm definitely one of them!) which can be considered as a huge video game, a kind of God of War (2005), with the audience within the movie theater as gamers. You may choose John Wick as Player 1 with an immortal cheat code or any other opponent as Player 2 without this cheat code. Although this new opus innovates with new weapons like horses, dogs, katanas and new horizons with Morocco, the recipe is, to put it simply, almost identical and always successful.I especially enjoyed the tribute to the legendary film Il buono, il brutto, il cattivo (1966) with the famous scene during which Tuco, a.k.a. The Ugly, elaborates a custom-made weapon by combining pieces from Remington, Colt, Smith & Wesson, ... and acoustically checks that the result lives up to his expectations, carefully listening to the sound of the barrel. Not to mention an unexpected reference to The Matrix (1999) via the quote « Guns, lots of guns! »But... one of the keys of a cinematographic success is a villain being up to the hero. In the first opus, Viggo Tarasov was of a rather imposing stature, i.e. the leader of the Russian underworld in New York, and interpreted by a charismatic and credible actor, Michael Nyqvist. In the second opus, Santino D'Antonio was an abject, perfidious and megalomaniac man which sees himself as the only representative of the Camorra with the ambition to sit on the High Table, whatever it takes. In this regard, Riccardo Scamarcio was awesome. In the third and last opus, it's almost a fiasco. Firstly, we do not really know who the big boss is. Secondly, there are a plethora of ridiculous underlings. The Adjudicator is an uptight and condescending woman (we almost want to give her slaps). Then Berrada is a wreck who shoots an innocuous dog without being able to kill it (my 5-year-old nephew would probably succeed, even with a water pistol). And finally, the Elder is a guy who drinks mint tea in the middle of the desert, surrounded by his dromedaries (no comment). Beyond this mess, Zero tries to save the day. In short, the villains are ultra-quantitative but insufficiently qualitative! We definitely need a Thanos, a T-1000, a Predator, ... figuratively speaking.As a synthesis: yyeeeeeesssss! And my evening of Wednesday, May 19, 2021 is already booked, no matter what."
26 May 2019,neil-476,33,61,4,Emotionless drivel for the videogames crowd,"John Wick, having killed someone within the sanctuary of the New York Continental Hotel, is on the run with a $14M bounty on his head. We learn more about the High Table as their Adjudicator seeks to sanction those who have helped Wick: meanwhile Wick battles his way through the many, many, many, many anonymous figures who seek to kill him.Keanu Reeves kicks off Chpater 3 exactly where Chaper 2 left off, racing his pigeon-toed way through the streets of New York not quite ahead of the entire population, all of whom seem to know who he is as they wait, heavily armed, on the next corner.I liked John Wick 1. I thought number 2 was empty nonsense, non-stop videogame violence in search of a story. And, regrettably, number 3 is more of the same. I've scrolled through IMDB comments, through masses of 9s and 10s all declaring this to be the best yet, and how much better it is than anything else in cinemas at the moment. OK, fair enough, opinions are like fundamental orifices, everyone's got one, and what comes out of them is the same for each of us.But to me, the reason why this film fails (not completely, there was at least a little bit of story about the nature of the High Table) is because none of the exquisitely choreographed slaughter means anything. There are several reasons for this:
1. You can't hurt Wick. Stab him, run him over, throw him off a building - he just stands up, groans a bit, and carries on;
2. The number and manner of combatants is unbelievable. Wherever he is, there is an endless procession of assailants waiting to take their places in the queue of imminent corpses, usually 2 at a time. Pop, pop, another 2.
3. Assailants all have patented guaranteed to miss ammunition, Wick has patented guaranteed to hit ammunition. Yeah, right.
4. Knowing that you can't hurt him and he can kill you means that there is nothing at stake when he fights you - the result is predetermined.
5. The assailants are all faceless, anonymous bodies. They are not people, they are simply outlines in fairground tatget practice. There is no emotional significance to taking a life. These are not people, so who cares?Regrettably - because I like Keanu Reeves, this is empty-headed style over substance. No 9 or 10 from me, I'm afraid."
20 July 2019,shovon-1,19,29,5,Overdose of senseless Violence,"It's not that I am not an action fan, one starts to enjoy the initial fight scenes and ample knife throwing but somewhere deep inside the movie time, say around 45 min.+ or so, the violence is dished out in complete overdose. So much so, by the end, it becomes completely numb and anesthetic to senses.. Glass is breaking or no glass is breaking, punches being dished out or not , bullets being shot or not , kicks being flung or not, ..etc ....it just feels from there so numb. Nothing more is creating an impact anymore . Its like being there , done that , seen that . Head shots will happen, one bullet kills no one , it must be always a minimum 3 to 4 excluding always two or three in the head to top on that. The Hero will fall, crash into glass, get smashed into walls, be shot at , be knifed at, be sworded at , and plethora of other mortal projectiles being hurled at ...nothing...The Hero will just stand up , walk again , in correct posture, will be able to speak normally and move all body parts as is deemed to be moved in a normal human being (sans the fatalities mentioned).
well...This is where I stop .....
Over the top violent nonsence."
20 May 2019,RavenEffect666,790,1162,4,Bland & Repetitive,"So this is the first review I've wrote. Anyway, I don't know where these people are coming from that call the movie exciting, non-stop, incredible, OMG, etc. To be clear, I loved the first John Wick. The second one to me was eh because it got really silly with the whole ""high table"" and medallions and basically everyone in the world is a contract killer, etc. John Wick 3 is basically the second one, only on PCP.The entire 3rd film is literally like watching someone play a video game with god mode on. Nothing stops him. He gets stabbed in the neck, that's ok. Stitch it up, move on. People fire hundreds of rounds at him. It's ok, they all missed. He gets hit with two cars literally back to back. He just gets up. Hell, he gets shot point blank 5/6 times and falls out of a 4th or 5th story balcony, bounces off of everything and splats on the street, it's ok, he's still alive and just ""angry"" now. The entire movie is just and endless line of contract killers coming up to Wick and them fighting.Don't get me wrong, I love action movies and like I said, I loved the first one. Without a good story though, it's just silly. After about 45/50 minutes, you literally start shaking your head because it just becomes really repetitive. A friend of mine asked me how the movie was afterward. It can be summed up as ""everyone goes after Wick, everyone dies, the end."" The movie is also left wide open for a sequel which just blew my mind. Just stop. The movie was the equivalent of someone who was playing GTA3 their first time, just running around and shooting and killing everything that moves."
22 September 2019,Leofwine_draca,17,31,9,Sheer enjoyment,"The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the sheer inventiveness of the non-repetitive action. There are horse and motorbike chases, a Moroccan brawl with fighting dogs, alongside the massive action of the climax. There also seems to be a greater emphasis on hand-to-hand combat, featuring the likes of RAID actors and old-timer Mark Dacascos, which is a real pleasure as the choreography is top-notch. In terms of sheer enjoyment, this is a film hard to beat, and to criticise it at all is unnecessary. Bring on the fourth!"
16 May 2019,anand-27,204,366,6,Promising start and then...,"John Wick is no longer a small start-up movie that caught our eye and re-energised the revenge genre. The producers of John Wick, with both eyes clearly on building a profitable franchise, have decided to do a Mission Impossible with The Syndicate and 007 with Spectre, and create a super organisation - The High Table. And with it (roll eyes moment) rules, regulations, protocol etc which are all becoming too often and too much these days.What this means is, we get an all out action-packed opening of 20-odd minutes before the show becomes a platform for product placements and poorly choreographed fight scenes where you can see Keanu 'acting' more than fighting and in fact, struggling to keep up (and not because he is injured or has been thrown about). The fight scenes, many shot wide angle, do not have the energy and intensity of the opening sequences and there are many, many moments where you feel 'oh come on, John's whole body is open for attack'. Laurence Fishburn, Angelica Houston and Halle Berry are wasted and don't even get me started on Asia Kate Dillon - she is annoying in Billions, even more so here. I am a big fan of the first John Wick, was ho-hum about the sequel but this third one, haiz...can't say I'm looking forward to a 4th instalment. There may be a High Table but there's nothing inviting on it."
23 May 2019,Bonz99,56,98,1,"Waste of Time, First Film I've Walked Out on in Years","I must not be in on the joke, since at this writing (May 2019) this movie has an 8.1 rating on IMDB, as well as a very high rating on Rotten Tomatoes.Not to give anything away, the entire movie seems to consist of John Wick killing uncountable numbers of baddies who are out to kill him because he broke the rules of some bizarre hotel for killers. There is not much of a story, except for Wick's trading on on past favors with ever-higher-ranking bad guys, and at each level having to kill a few dozen more baddies. There was virtually no humor or personal interest in Wick himself.Question: how do supposedly brilliant crime bosses manage to hire only underlings who cannot shoot or fight well enough to take out one injured, exhausted man? With all of them spraying machine gun bullets in Wick's direction, how come he never gets hit? Jeez, I'd even settle for a richochet.Best wishes to viewers who like that sort of thing, but I found it horribly boring and walked out about 2/3's of the way thru the film. If there is some big joke at the end, I can't reveal it because it was not worth my time to stay through the entirety of this awful movie to find out."
3 June 2019,judywalker2,15,26,5,Ridiculously idiotic,"Gave this movie a five only because I liked the cast, Keanu, Halley, Lawrence, Lance and Ian did a great job with a crazy story. After I watched the first John Wick movie I thought, yeah there was a lot of violence but it made since. Someone invades your home, steals your car and kills your dog you seek revenge. It was a great escape movie, violence with a plot. John Wick 2 was less successful for me, lots of violence, no plot. The best parts were minor ones, John and Santino's sister before she dies and John's professional courtesy to Common. In John Wick 3 I guess you could say there was a plot, but mostly there was stylized violence which just got boring. It would have been nice to have more plot concerning the workings of the High Table and a better adjudicator. This actress was a little boring. There is no doubt as I stated earlier the casting was great, Angelica Houston was a great addition. Finally meeting the head of the high table was also great but in total the movie was average."
