Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
4 January 2021,auuwws,34,51,9,Pulp Fiction,"One of the best movies I have ever seen is a fun and enjoyable story, as most of the film's characters were excellent, and it brought back the character of Butch and his girlfriend, Vincent was the best character and his death was shocking and I did not. Expect that, the interconnectedness of the film's stories was excellent, the direction in the film was excellent The film, the acting in the movie was very cool, I recommend it, and it is the best film by Quentin Tarantino"
14 March 2021,foxhound-37781,4,4,10,Tarantino's Absolute Best.,"What's there to say about Pulp Fiction that hasn't already been said..... Multiple tales of crime and corruption and robbery put together to create what seemingly is 3 or 4 short films that are interwoven, but done so in a way that just works so well.Shot in and around LA, every actor in this movie plays their role to absolute spot on perfection. No one feels out of place or out of character for one second of this film, and there are some serious big name actors in this considering it was only Tarantino's second film. even HE himself plays a very believable role.The only downside is sensitive folk might find it a bit gnarly hearing white people use the ""N"" word with sustained use, but it's certainly nothing that ruins the film to the state of it being unwatchable.Pulp Fiction has an awe inspiring cult following and so it should. It's just the perfect movie from the 90's. It's one of those rare gems that just has EVERYTHING on display you could ever want in a film. It doesn't feel outdated and it doesn't feel overacted. It's a little bit of a long one at 2 and a half hours long but you really don't notice it because you enjoy it so much.10/10 Could watch it endlessly and never get bored."
30 December 1998,Luke-20,663,984,10,One of the best movies of the century!,"If you think ""Pulp Fiction"" is brilliant, you're wrong. It's more than that. It's a milestone in the history of film making. It's already a classic. But why? Because of the many ""f"" words, or maybe because of the brain and skull pieces on the rear window of a car? No, that's surely not the point (unfortunately some other users - fortunately the minority - don't get it). Tarantino has made a movie that's someway different from many other action, gangster or crime movies. What's so different? He knows the subject of the movie is ""cool"", he knows it's a product of mass culture, and he even likes it by himself. But he smiles at it and tells three great stories with a lot of irony. And this irony is the first point. The second point is that he gave souls to extremely schematic characters. They surely aren't another action heroes who you forget as fast as you can twinkle. They are human beings like we are, talking about Burger King and McDonalds, about TV series and a foot massage. They just earn their money with killing others or selling drugs. What else is so great about ""Pulp Fiction""? It's the acting, the directing, the cinematography, the soundtrack, the sense of humour and the whole rest. In my opinion it's all worth nothing less than a 10 out of 10. A masterpiece."
20 April 2020,Jeremy_Urquhart,10,14,10,"Always has been, and always will be a personal favourite","Perhaps before I start talking about why I think Pulp Fiction works on so many levels, I should mention briefly how I came to watch the film. Pulp Fiction was a film I had heard of at a very young age, and I'm not quite sure why. I had also wanted to see it for a very long time- again, I'm not quite sure why. Maybe the mere fact that it was R-rated and notorious for its violence perked the interest of my 14-year-old self. Nevertheless, I got round to watching it about a month before my 15th birthday- incredibly late at night on an occasion where I found myself home alone. I recall being blown away by the film, but also somewhat overwhelmed and confused. I had never seen anything like it before, and walked away from it being kinda sure I'd enjoyed it. I couldn't say for sure though.Still feeling curious about the film, and the many mysteries relating to it that I'd failed to determine on my first viewing, I re-watched the film just a couple of months later. And something just clicked for me- I fell in love with the film. Everything about the movie suddenly worked for me, and I found the second viewing to be perhaps the shortest two and a half hours of my life I've ever experienced. My own sense of time was warped and bended to the extent that it was in the film itself. That very night it somehow became one of the greatest things I had ever watched; one of the only films I'd seen that I barely hesitated to call a masterpiece.Since then I've watched it another six or seven times- almost once a year- and I continue to feel motivated to watch it because I honestly feel like I get something new out of it each time I watch it.Spoilers ahead, by the way. I plan to get fairly in-depth with my review of this movie, so just a warning for those that haven't seen it.One of the great things about Pulp Fiction is its refusal to fall under any particular genre or category of movies. It feels like a comedy when Jules and Vince discuss fast food and foot massages for nearly ten minutes It feels like a thriller during several segments, notably the scene where Mia overdoses on heroin and the climactic Mexican stand-off in the restaurant- two sequences that would have even Alfred Hitchcock on the edge of his seat. The crime genre is represented through the character's actions- most of the cast are criminals in one way or another, whether they murder, steal, or take generous helpings of class-A drugs. The infamous gimp scene feels straight out of a horror movie.This collage of various movie genres is one of the things that makes the movie stand out- by themselves, certain scenes may feel familiar, but when they're all blended together so well like they are in Pulp Fiction, the end product ends up feeling unique. This is true for most of Quentin Tarantino's films- he borrows elements from different genres, and homages/ references dozens of older movies in order to create something that feels unique, even if most of the individual elements themselves aren't too original. I can see why some people may not be a fan of the fact Tarantino essentially steals from the lesser known works of those who came before him, but for me, I love it- I think he just makes it work due to the fact that his encyclopaedic knowledge of film allows him to borrow from so many sources. If he simply referenced about a half dozen or less films for each one of his movies, then I think that would start to feel like plagiarism.Now, I could go on about the acting, the screenplay, the direction, and the glorious soundtrack, but really, what's there to say about these elements of the film that haven't already been said? Tarantino's screenplay is one of the most acclaimed and quoted from the past couple of decades, and deservedly won him his first Oscar. His direction has been similarly praised, and the soundtrack has become iconic- most impressive of all is that Tarantino chose music that goes so well with the images they accompany. And yes, the acting is phenomenal- the film features what is almost certainly Samuel L. Jackson's best performance, one of Bruce Willis' most interesting performances of his long and successful career, and some great work from Uma Thurman. Even the supporting actors are memorable, including Harvey Keitel, Tim Roth, and Ving Rhames as Marsellus Wallace (who's arguably the film's main character- think about it; without him, none of the three main stories would exist- Butch ripped off Marsellus Wallace, Vince took out Wallace's girlfriend on a date that eventually went horribly wrong, and Vince and Jules were assigned to retrieve the mysterious briefcase for Wallace). And of course, who can forget that Pulp Fiction single-handedly made John Travolta cool again- an absolutely monumental achievement. Of course Travolta did eventually succeed in making himself a joke again a few years later when he made Battlefield Earth, but that's another story (or perhaps better left for another review)?As I said, I could indulge in commenting on these areas of the film, but if you've seen the movie you probably already know how good they are. Pulp Fiction is also one of the most discussed film's of the past 20 years, so you've likely already come across reviews or rabid Tarantino fans who've gushed about why the film works so well, and how fantastic all the various components of the film are.So instead, I'm going to backtrack back to my point about seeing something new in the film upon every new viewing, and explain what I took away from the movie on my most recent viewing.Pulp Fiction was always controversial for its violence, with some criticising its depiction of assaults, shootings, beatings, and exploding heads. But for me, I found the film to have an almost anti-violence message of sorts, and I only realised this on my most recent viewing. Now bear with me, because I know that sounds like a somewhat ridiculous claim, but I have my reasons. Pulp Fiction may be violent, but it doesn't promote violence. Sure, the violence may be somewhat stylised and at times over the top, but that doesn't mean the film is saying that violence is something trivial. Violent acts in the film are often shown to have consequences for those that commit them. Vince's carelessness with his gun- an instrument of violence- causes Marvin's head to be blown off in the backseat of Jules' car, which leads to a near twenty minute detour in which they must take the car to Jimmy's house and consult ""The Wolf"" to assist them in cleaning the car and disposing of the gory evidence. Marsellus' desire to get revenge on Butch by presumably killing him leads them both to the basement of the rednecks- indeed, they are both fighting each other in the redneck's store when they are taken captive.But in the climax of the film, where guns are being pointed at several characters in the middle of a tense Mexican stand-off, not a single bullet is fired. One would expect the tension to be eventually broken and the bullets to start flying, especially if one has seen some of Taratino's other movies that end in explosive and violent climaxes (see Reservoir Dogs, Inglorious Basterds, Death Proof, Django Unchained, and Kill Bill Volume 1). But instead, Jules, who we've seen to be ruthless and unafraid to kill earlier in the movie, believes himself to be a changed man after miraculously surviving a hail-storm of bullets from a criminal that looks a little like Jerry Seinfeld and so instead decides to defuse the situation peacefully. He talks down Pumpkin and Honey-Bunny from killing or robbing anyone, and insists that his dim-witted associate Vince refrain from hurting anyone too. He delivers an absolutely stunning monologue where he ponders the bible reading he quoted so confidently earlier in the movie, and it's damn-near poetic. It sends a shiver up my spine every time I watch that scene, and indeed, Jules' speech works. The two robbers get up after Jules gives them some money from his famous wallet, and then leave. Jules and Vince do the same a few moments later.Not a shot is fired. No one is killed. It's an absolutely beautiful scene.It may have been tempting for Tarantino to give the film a ""Wild Bunch-esque"" ending, but instead he refrained, and I'm glad he did so. The climax to Pulp Fiction is absolutely stunning- fifteen minutes of tension, almost poetic dialogue, and brilliant acting, especially from Samuel L. Jackson. And it took me seven viewings just to notice how beautifully peaceful the ending of the film was. And that's why it's my favourite film of all time- I get new meaning from it, or appreciate different areas of it every-time I watch it.If you've never seen Pulp Fiction before, I implore you to go watch it.
And if you have seen Pulp Fiction before, I implore you to go watch it again."
25 January 2019,maryolalov,25,38,9,A true Tarantino classic,Pulp Fiction is one of those movies that not everyone can enjoy. Many people say that it's boring and senseless. It is true that the plot isn't something special but it isn't the plot that makes this movie so unique but the awesome script and great cinematography.Probably one of the greatest things in this movie are the dialogues. The dialogues just like in all other Tarantino movies aren't directly connected with the plot. Take the first dialogue between Samuel Jackson and John Travolta. They are talking about how a certain burger is called in France. This and many others dialogues don't have a direct relation with the plot line but their function is to somehow build the characters' personalities.The other thing that makes this movie so unique is the unexpected turn of events. Like in all other Tarantino movies you don't know who they are going to kill next or what is going to happen. The scene where Vincent shoots Marvin in the face is a great example for such unexpected turn of events. This makes the viewer more intrigued and thus makes the whole experience form the movie way better.There isn't much more that can be said about Pulp Fiction. It's not a movie that everyone will enjoy but still deserves to be seen.
4 January 2021,scarlettwyrtzen,6,8,9,Fulp Piction,"This movie may be very ínstense but the plot is amazing. Watching movie's that go full circle like Eternal Sunshine of a Spotless Mind or Inside Llewyn Davis.
This movie is Quentin Tarantino's best.
Mia's overdose is scary but iconic, the dance scene is probably the only reason that John Travolta got the role, or Marcellus Wallace's band aid on the back of his head.
This movie is great, a little crazy and ínstense but great. If you are still not convinced it has JOHN TRAVOLTA AND SAMUEL L JACKSON AND UMA THURMAN AND A BRIEF SCENE WITH HARNEY KEITEL AND A BREIF SCENE OF CHRISTOPHER WALKEN AND BRUCE WILIS. Oh, and Steve Buscemi plays Buddy Holly at the finer than Mis and Vincent dance at."
22 July 2019,BandSAboutMovies,7,12,10,Still perfect,"There are movies and then there are forces of pop culture nature. Pulp Fiction is just such a film. While so much before influenced it, nothing after would ever be the same. In its wake, so many films tried to xerox its non-linear narrative, ultraviolence and wildly veering plot points. Pretty much not a single one of them is halfway decent by comparison.Tarantino took some scenes that Roger Avery intended for True Romance and decided that none of the film would appear in true order. For many, it was the first film they had ever watched that had monologues and conversations that were at the same time about everything and nothing all at once. While TriStar Pictures turned down the film, it became the first movie that Miramax would fully finance.Why would TriStar not want to make this film, particularly after Tarantino had become so big after Reservoir Dogs? Roger Avary said that the studio had issues with nearly every part of the movie, as they basically said, ""This is the worst thing ever written. It makes no sense. Someone's dead and then they're alive. It's too long, violent and unfilmable.""I wonder how the person that said that felt after Pulp Fiction was voted as the winner of the Palme d'Or at the 1994 Cannes Film Festival and was nominated for seven Oscars. Obviously, this film was also a commercial success, remaking the career of John Travolta and causing people to take notice of the acting skills of Uma Thurman and Samuel Jackson.There's a moment in this film that determines whether or not you like and understand Tarantino. Before they enter Jack Rabbit Slim's, Mia Wallace (Thurman) asks if Vincent Vega (Travolta) is square and she illustrates that point with her fingers. Suddenly, the movie becomes animated and dashed lines illustrate her point and realism fades away. In this small moment, you either think that this is the dumbest thing you've ever seen, totally pretentious or completely and utterly awesome. I fall into the latter category and began cheering the moment it happened on screen.Pulp Fiction begins with a diner being held up by Ringo (Tim Roth, who was in Tarantino's Reservoir Dogs) and Yolanda (Amanda Plummer, So I Married an Axe Murderer) before we move into Jules Winnfield (Jackson) and Vega (Travolta, in a role originally intended for Michael Madsen, who had played the other Vega brother, Mr. Blonde, in Reservoir Dogs) taking a briefcase back for their boss Marcellus Wallace (Ving Rhames, Con Air), after a long discussion of what McDonald's calls their food in Europe.What's in that briefcase? All that we learn is that the lock for it is 666, but it's a MacGuffin - a term invented by English screenwriter Angus MacPhail and popularized by Alfred Hitchcock. The case was originally going to have diamonds in it, but that's kind of boring. Instead, it opens to have a strange glow. Tarantino has been very coy about what it really is, even doing an interview with his friend Robert Rodriguez where they cut out the real answer before his fellow Grindhouse director says that the knowledge of what is really in the case radically changed how he saw the film.There are plenty of theories of what's really in that case. If we extrapolate that Tarantino was influenced by Kiss Me Deadly, then it's a nuclear device. It's been compared to the trunk in Repo Man. And an internet rumor began that it's really Marcellus Wallace's soul as evidenced by the band-aid on the back of his neck which is supposedly where the Egyptians believed the soul resided.The two bring the briefcase to their boss, Marsellus, but first, he bribes Butch Coolidge (Bruce Willis) to do the job in his next match. Then, the boss goes out of town but asks Vega to show his wife a nice time. How nice of a time? After all, he threw a man out a window just for giving her a foot massage.About feet - this is the movie where Tarantino reveals his foot fetish. I'm not being rude or sly; it's 100% obvious upon watching the film.Before the date, Vega buys heroin from Lance (Eric Stoltz), who is out of balloons, so he puts it in a baggie. This will be important after the date of dinner and dancing at the aforementioned 1950's pop culture diner Jack Rabbit Slim's. Their dance scene here - taken almost move from move from Fellini's 8 1/2 scene where Barbara Steele dances with Mario Pisu - is more than just a simple physical scene. For a moment in time, it freezes reality and makes us think back to why we love Travolta the actor and not just Vincent the character that he is portraying. When we see him, we don't just see every role that he has ever played. We are fixated on the role that we first fell in love with, Tony Manero from Saturday Night Fever, bringing back fond thoughts of what it was like when to see the actor on the dance floor.Vega is obviously enamored of Mia and feels that things could feel the same with her, so he plans on simply leaving. However, she snorts the heroin - thinking it's coke - and nearly dies. It takes a needle of adrenaline right to her heart to fix things, as much as they can be fixed.While all this is going on, Butch wins the fight and kills his opponent. As he escapes in a taxi, its driver (Pittsburgh native Angela Jones, who graduated from the same college that I did, Point Park, and would go on to play the same character in the film Curdled, as well as date Slash) asks him what it's like to kill a man.Butch has told his girlfriend Fabienne (Maria de Medeiros, who was Anais Nin in Henry and June) to get everything ready to run away, but she forgot his gold watch, which we learn his father smuggled in a very uncomfortable place, along with Captain Koons (Christopher Walken), who tells him the story of the watch in a flashback. Butch must go back home, where he encounters Vega reading Modesty Blaise on the toilet. One barrage of bullets later and he's on the run, but when Marcellus Wallace crosses his path, he decides to hit him with his car.Both injured, Marcellus begins shooting at Butch, who runs into a pawnshop. Maynard (Duane Whitaker, one of the racist cops in Tales From the Hood), the owner, ends up taking both by gunpoint and ties them up in a room where his partner Zed (Peter Greene, who was in The Mask) takes Marcellus from behind while the gimp (Stephen Hibbert, who was married to Julia Sweeney at the time, who also shows up briefly as the daughter of Monster Joe; Joe was going to be played by Dick Miller, but that scene was cut) watches over Butch.Butch overpowers the man in the bondage suit and decided to go back and save his enemy, using a sword to kill Maynard while Marcellus grabs a shotgun and shoots Zed, wounding him just enough so that he can call some of his worst men to get revenge. They agree that Butch can leave, but can never come back to Los Angeles. He grabs Zed's bike, gets his girl - who really has caused so much of this mess because she acts like a child - and gets out of town.Why does Butch save the man who made his life hell? Because in Tarantino's mashup universe, protagonists live in the symbolic universe of the Japanese samurai, where honor is more important than anything. Leaving Marcellus to have his manhood further destroyed and then killed isn't the death that a warrior deserves. It's no accident that of the weapons offered, which also include a hammer, a chainsaw and a bat, he takes the sword.Back in time, as they get the briefcase, Jules and Vincent surviving an attack at Brett's apartment when a man somehow misses them every single time. They argue over whether this was a miracle or not, which leads to Vincent accidentally shooting Marvin (Phil LaMarr, the voice of Green Lantern John Stewart on the Justice League cartoons). They decide to visit Jules' friend Jimmie (Tarantino), who is stressed about his wife coming home from work. That means that the cleaner, Winston Wolfe (Harvey Keitel), must come and do his work by disposing of the evidence.That issue dealt with, the dup come back to the diner at the beginning of the film. Jules decides that he's going to retire and walk the earth like Kane from Kung Fu, which Vincent finds ridiculous. As he goes to the bathroom, the couple we met earlier start to rob the place. Vincent returns and this leads to a Mexican standoff, but Jules successfully uses his newfound love of peace to diffuse the situation and everyone leaves alive.The Bible passage that Jules quotes isn't exactly from the Good Book. It's more paraphrased and also harkens back to the lessons that Sonny Chiba would deliver before vanquishing evil in his films.Pulp Fiction got its start as a trilogy that would be written by Avery and Tarantino, but would also have a third director. It was inspired by Mario Bava's Black Sabbath, which is another portmanteau film. Tarantino's original story, Black Mask, ended up becoming Reservoir Dogs. Avery's story Pandemonium Reigns is the gold watch story within this film.There's no score to the film, but instead a pastiche of near underground American music. There's a ton of surf rock in this film, as Tarantino felt that it sounded like the themes of Italian spaghetti westerns.This is also the beginning of the incredibly self-referential universe of Tarantino films. Vincent Vega and Mr. Blonde being brothers, Red Apple cigarettes and Big Kahuna burgers show up in many of his films and Mia Wallace's TV pilot Fox Force Five is either a tease for Kill Bill or places that film as a fictionalized part of an overall narrative. For kids that grew up reading comic books or loving when TV shows crossed over, this would become an entirely new obsession. Throw in the fact that this movie references every movie that came before it and you get the reason why we're devoting an entire week to these films.Pulp Fiction is 25 years old this year. It doesn't feel that way. It achieves that rarest of movie dreams - utter timelessness."
27 March 2021,corythejoker,4,4,10,Pulp fiction,My opinion this is my all time favorite movie. Tarantino is also my all time favorite director. 1994 was a year with many masterpieces probably my favorite year for film. Pulp fiction is riveting well acted and in my opinion nothing against Forrest Gump or Shawshank Redemption which were also fantastic that were nominated for best picture in 1994. This is my citizen Kane over citizen Kane. This story about 2 hitmen there boss his wife and a boxer on what happens in 2 days is a tour de force to be seen and is the greatest 90s film and the greatest film of all time in my opinion.
28 May 2019,zanghi_james,5,7,10,A Perfect follow-up to Reservoir Dogs!,"Quentin Tarantino made a nice splash with his cinematic debut of directing Reservoir Dogs. And less than five years later, he followed up with another wonderful non-linear masterpiece that not only lived up to the previous films performance, but outshined it as well, appropriately called Pulp Fiction.Much like Reservoir Dogs, Pulp Fiction is not for everyone. There is an incredible amount of cussing and swearing as well as violence and disturbing imagery. There are some callbacks to the style of Reservoir Dogs as well with the violence, like not showing the violent boxing match that is the main point of Bruce Willis' character's story in the film is definitely a callback to Tarantino not showing the botched diamond robbery in Reservoir Dogs. Some of the scenes of violence are so out there, though, that they are almost like R-Rated scenes from a Three Stooges short, most notably the scene where Uma Thurman needs to be revived from overdosing on Heroin. However, don't expect such comedical style all the time, since there is that one scene with Bruce and Ving that is like Deliverance was directed by Eli Roth.As usual, the casting choices of the film are spot-on. Ving Rhames, who I really only have seen else in the Mission Impossible films, plays a great, tough, and much more likable gangster than Lawrence Tierney in Reservoir Dogs. John Travolta's character, despite doing a great dance scene, plays a pretty despicable bonehead who gets his comeuppance in a nice satisfying way of gallows humor. The true star is Samuel L. Jackson, playing a good-natured and loyal gangster who, following a slightly botched job, gets a better view of his violent life and decides to get his act together. The cameos are, as usual, really cool, also. Bruce Willis plays an okay tough guy in this one also, though his tantrum when he loses his watch is a little out of control. I mean, I agree that the watch is critically important to his character, but he didn't have to blow up at his girlfriend like that...And of course, the soundtrack rocks."
30 March 2020,e-67102-48412,2,2,10,Beloved in black humor.,"The bodyguards who read the Bible before shooting, the boxers who killed people with samurai swords, the homosexuals who raised slaves, the elegant old butlers. When all the cool elements were complete, the director used them to talk about a lot of trials. It is also a thrilling story. It makes people applaud.Ingenious structure, wonderful lines, and the mapping of the circular structure to reality, Quentin is really a genius , playing so much in a movie, and can also produce a unique style of violence ."
