Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
17 July 2021,anselmdaniel,9,9,8,Awesome spectacle,"This review contains spoilers.The Avengers is a superhero action movie that premiered in 2012. The movie is directed by Joss Whedon, produced by Kevin Feige, screenplay by Joss Whedon. The story is written by Zak Penn, and Joss Whedon. The movie stars Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, and Tom Hiddleston. Loki launches an invasion of Earth leading the heroes of the Earth to band together and stop the invasion.The Avengers is a great action movie. The movie incorporates the grand visuals found in the previous Marvel Cinematic Universe movies and combines them for one spectacle featuring the heroes that we know and love. The movie focuses on the spectacle rather than having a complex narrative focusing on specific characters. In this way it is more of a large set piece with pre-existing characters rather than a full narrative movie. The spectacle is impressive to watch with the ending battle in New York City being the highlight. The scenes leading up to that moment are impressive as the heroes band and fight amongst each other. The movie is about the heroes as a whole rather than individuals.The Avengers has great chemistry with its leads. Not only does the audience see visually impressive action but also the dynamic between the superheroes. The movie relishes in the heroes it has on display and it is a treat to watch for comic book fans. Audiences can see the heroes have their quarrel and what happens when Thor's hammer hits Captain America's shield. The story concerns the heroes and it is believable that Nick Fury's Avengers squad would not get along at first. It makes for an interesting story as the squad eventually overcomes their differences and begins to work together. This is a classic trope that is applied to a superhero story.The flaw of this movie is that Loki has not been built up as a massive villain before. Loki always seemed more like a joker and a specific villain for Thor rather than a large scale villain that spanned into Iron Man and Captain America's stories. I still enjoyed Tom Hiddleston's performance and watching him on the screen is sure to delight.I would recommend The Avengers.Grade: B."
17 June 2021,blueyourrivalbot,12,12,9,"One of the classics, a must watch","The score, the CGI, the writing, the humor, all of it is just top notch!Especially the legendary scene where Tony Stark falls out of the building and the suit activates and builds around him, not a scene to forget. The scenes where he lands at the Stark Tower landing pad and the machines automatically took off his suit is also unforgettable. How all of the agents have different plans, and how this will create conflict, but at the end, when they defeat Loki, they are together again. This movie also serves a major purpose as all of these people have met each other for the first time.If you have watched all of the other Avengers movies, it is pretty funny to see how they have grown with each other. The theme song, composed by Alan Silvestri took this movie to a whole new level. And how this theme song evolved in the later Avengers movies. Even hearing it now gives me chills."
20 August 2021,martinpersson97,6,6,9,A groundbreaking culmination,"The MCU had estavlished itself as an interesting project since the start - there were some hit and miss movies, but it was overall an imaginative concept.Then came the moment everyone had been waiting for, the big culminatiom that had been promised for years - and with Joss Wheadon at the helms, it sure doesn't disappoint.Like the MCU overall, it has a very fun and lighthearted feeling reminiscent of films like Str Wars, which is much appreciated. It is a very colourful cast of different and memorable characters, all memorized by great actors. The main antagonist Loki establishes himself as one of the most interesting and complex movie villains of all time, whether he's tragic, spiteful, mildly heroic or just pure evil, he's a joy to watch.A main draw in these movies, of course, are the effects and action scenes and they sure doesn't disappoint. The movie gives us some of the biggest and most epic scale battles ever seen on the silver screen, and it's simply mind blowing. The cinematography is incredible as well.Overall, a fun and epic movie that was years in the making and once and for all proved how successful the Marvel Cinematic Universe was."
3 August 2021,neutredlum,5,5,9,Great first avenger movie,This is a great first avenger movie liked it a lot Loki star of the show again I hated Steve's suit the rest was ok really liked hulk in this one CGI looks great and they already introduce thanos that was great too.
14 June 2021,kaden_lewis,7,8,10,The Avengers,"The best movie of phase 1! This movie was literally perfect. It had a great plot, a great story, great acting, and one of the best villains in the MCU. I thought the way they tied in parts or Thor and Captain America: The First Avenger through the Tesseract was cool. I also liked how the movie centered around Loki and his quest to rule Midgard (Earth), by stealing the Tesseract from a S. H. I. E. L. D base, taking command of Hawkeye, Selvig and Shield agents, and him teaming up with the Chitauri to attack New York and eventually the world. The story and dialogue was even good, I liked how the Avengers would always bicker together, and I also liked the punny jokes. I also loved the fact that the soul reason The Avengers decided to work together was due to the death of Coulson. Like always, the acting by everyone was great, even the new additions. Lastly, Tom Hiddleston as Loki was absolutely amazing. He played the role to perfection again. He is always great and I really hope to see a lot more of him in the future.Like I said, this was the best movie of Phase 1, I recommend this to anyone, even people who haven't seen any MCU movies before."
18 July 2021,sivathattil,5,5,10,Interesting Movie,All actress and actors awesome acting. Fantastic movie. Graphics design and sound effects awesome.
24 August 2021,x_manicure_x,3,3,7,Entertaining if you saw all the other films,"The Avengers didn't age well but is a highly entertaining movie regardless of your knowledge of its characters and universe. Sure it's cliche and super predictable just like any other superhero movie, but remember this is nothing that you should take seriously. It's just a big excuse to get all your favorite characters kicking each other's butts on screen with great special effects. Compared to all previous MCU movies it's very well-paced and while being fun and self-mocking it never gets to unbearable peaks of trashiness. The writing was surprisingly well-cared too this time. The characters have good chemistry, and each one of them gets introduced the right way, with the right amount of information being given still without getting too verbose. I still don't think that having Hulk suddenly being able to control his powers is a good idea though. It pretty much kills the whole concept of being indestructible but a threat to anybody around him at the same time. I understand that there are times he can't control himself when under stress like in the first part of the movie, but it's still too much of an easy card to play. Having the Avengers use his powers against the enemies but struggling to keep him in control at the same time would be more believable and balance the game better. Also Loki after being presented as the ultimate bad guy the first half of the movie gets completely lost after the aliens come in. Didn't feel his threat at all."
16 July 2021,jace_the_film_guy,5,6,8,Meticulously Crafted,"The Avengers film was meticulously crafted and well thought out. There was careful consideration taken in every element, every plotline and every piece of dialogue, which is can be positive but also negative. Because it was such a monumental cinematic moment, it seemed as though the filmmakers were doing everything possible to not mess it up and therefore did not take many risks. That being said, the film itself is fantastic. Seeing Earth's mightiest heroes fight side by side give you goosebumps, there are genuinely funny moments and the plot moves forward logically. However, compared to later films in the MCU, The Avengers just seems a little too safe."
11 May 2012,maddog-50,475,979,1,meanwhile,"film studios just found out that a lot of moviegoers rely on ""reviews"" like internet buyers rely on customer reviews. It is known, that many big internet shops hire review-agencies those only job it is to fake authentic looking customer reviews because a lot of buyers trust the reviews of other customers more than any magazine reviews.That's what is happening here. 80% of the reviews here are written by professional review-agencies which got paid by the studios. If you look closer and compare the text of those ""best movie ever"" reviews (or variations of that, such as ""i did not expect much, i am not a superhero fan, but this was greatest beyond belief"" ) with reviews written at other moviegoer platforms, you will find a lot of equal phrases and text blocks.I guess that IMDb is aware of that cheating and they support it. This movie is another superhero movie with the very same formula. Superheros need super problems to solve, so that they can shine. Each hero has to face the kind of super problem which is appropriate to his/her individual super powers. They only can defeat the evil threat when they work as a team. But suddenly some social problems between them jeopardize the whole mission to save the humanity from that super tread, as you can guess, and only towards the end they find together again and etc., etc.. A story for retarded eight-year-old's, flavored with as much CGI as you little brain can swallow in the time.A stupid movie with a stupid story, stupid characters with stupid attitudes, stupid CGI and a stupid ending. If super stupid means blockbuster, then here you go."
30 April 2012,thefilmexpert,1213,2092,1,Are movies so bad now that a film like this is considered great?,"Have movies become so bad these days that a merely well-executed totally formulaic film, like ""The Avengers,"" is heralded as an exceptional film?Sure, this film hits all the marks and has some good one-liners, but once we expected films to be refreshing and new. ""Star Wars,"" while having obvious flaws, provided us a totally new universe with its own unique political conflicts, worlds, and even its own theology (the force). Its first twenty-minutes is mostly watching the story of a robotic English dandy (C3-P0) argue with a chirping rolling trashcan (R2-D2), but amazingly enough Lucas made that unique and crazy idea entertaining. The plot of ""The Avengers"" is just your run-of-the-mill comic book story-line. Compare its plot to that of ""Inception"" or ""The Matrix"" or even ""Back to the Future"" or ""The Good, the Bad, and the Ugly."" Much of what makes those films so great is that their plots are highly innovative. You have no idea where they are going. You always know exactly where ""The Avengers"" is going. Along these same lines, ""Psycho,"" ""The Empire Strikes Back,"" ""The Matrix,"" etc. provide classic twists--Norman has gone insane and has, in his mind, become his mother, the film's apparent killer; Darth Vader, the film's main villain, is revealed to be Luke's father; the first half of ""The Matrix"" turns out to have transpired in a totally false reality. Nobody expected these twists. What unexpected occurs in ""The Avengers""? Even its minor twists have appeared in other recent films. Its most significant--Loki allowing his own capture--comes straight from ""The Dark Knight.""Gangster films before ""The Godfather"" were just pulp. ""The Godfather"" transcended the genre just as ""Unforgiven"" did with Westerns. The same is true about ""The Dark Knight."" ""The Avengers"" doesn't transcend; it regurgitates a done-to-death plot. Unlike ""The Avengers,"" ""The Dark Knight"" was more than a comic book film. It was entertaining, compelling, yet it explored complex moral ideas, and its plot went in innovative directions. Did anyone know that ""The Dark Knight"" would end not with a fistfight but instead with a battle between the Joker and Batman for Harvey Dent's soul, a scene that leaves it open to interpretation whether the Joker or Batman really won in the end, a scene far more compelling than any sequence of destruction could ever be? And did anyone NOT know that ""The Avengers"" would end with a huge battle with the Avengers ultimately triumphant? Uncertainty about how a plot will be resolved is what once kept the audience hooked, not the continual spectacle of fights and explosions. In fact, look at the IMDb Top 250. With how many of these films would you know exactly how they'd end if you were seeing them for the first time? In fact, apart from the cartoons, is there a single entry as totally formulaic as ""The Avengers"" is? And let's not forget, did you ever worry that any of the Avengers would not survive? If not, then where was the real dramatic tension? One of the things that made ""The Dark Knight"" so compelling is that one of its two heroes not only dies but is also believably turned evil before he is killed. And did anyone expect what happened to Rachel Dawes, Harvey Dent's girlfriend? One of the things that made ""Psycho"" so dramatic is its main protagonist dies halfway through the film. Great films--serious or fun--must make the audience feel that there is something truly at stake. And do I even have to go into how voting to give ""The Avengers"" a 10 places it on par with the all-time great works of film art--""One Flew Over the Cuckoo's Nest,"" ""Schindler's List,"" ""Taxi Driver,"" ""Apocalypse Now,"" ""Citizen Kane"", ""Vertigo,"" ""Crimes and Misdemeanors,"" ""8 1/2,"" ""Manhattan,"" ""Cinema Paradiso"" etc.? A vote of 10 for a film like this diminishes the worth of these works of art that explore the deepest issues concerning the human condition.Though I've brought up some films that are darker than ""The Avengers"" or more serious, that is not my complaint about ""The Avengers"" at all. ""Star Wars, "" ""The Empire Strikes Back,"" ""Back to the Future,"" ""The Good, the Bad, and the Ugly"" were fun movies, but they also had plots that went in unexpected directions, had surprising twists, introduced us to unique characters. The elements I've listed here are what make a film exceptional and deserving of an incredibly high rating. Just a well-done totally formulaic movie like ""The Avengers"" simply does not deserve the praise it is getting. Of course this film does not deserve a 1 out of 10. I would really give it 3 or maybe 3 1/2 out of 5 stars, which is equivalent to a 6 or 7 out of 10 on the IMDb rating scale. However, until others don't alter their votes to put ""The Avengers"" more in line with where it should be in comparison to other great entertaining films of history, my vote will remain a 1. Go watch ""The Avengers"" a few more times. Once you've gotten used to the 3-D, the special effects, the digital surround sound, you'll see that the film is predictable, the jokes are so-so, and the violence of the fights and of the long climactic end battle actually gets kind of boring.If you're a teenager still reading comics or a lover of comic books who's always dreamed of watching Hulk fight Thor, Thor fight Iron Man, then this movie is what you've always been waiting for, but for the rest of us, ""The Avengers"" is not the tour de force it's been made out to be. Oh wait a sec. I just learned that there's a movie based on ""Battleship""--you know, that dull board game for eight-year-olds. I guess movies really are that bad. If you compare ""The Avengers"" only to garbage like that, I guess it really does seem great.Never mind..."
