Date of Review,User,Usefulness Vote,Total Votes,User's Rating out of 10,Review Title,Review
12 October 2020,auuwws,22,32,9,Ragnarok,"The best movie for a separate character from a Marvel movie is a very funny movie even though the villain is frustrated. After you smashed Thor's hammer, you didn't do the big thing."
29 October 2017,TBJCSKCNRRQTreviews,74,143,8,"Destruction and creation, building up and undermining","When the long-banished, not-known-to-exist first-born of Odin(Hopkins, whose parody of himself, as well as his somber take, are both great), his daughter Hela(Blanchett, delicious, loving every moment, and making for another one of the few and far between deeply memorable villains of the franchise) returns to Asgard, her tremendous powers and thirst for conquest mean Thor(Hemsworth going for dry, sarcastic wit, and it works) and Loki(yet again in a new personal situation with his family, albeit overall, he does little to affect what happens) have to stop her. However, they're stuck in Sakaar, prisoners of the dictator The Grandmaster(Goldblum, with his charm turning threatening from one second to the next). And then our titular hero is made to fight the gladiatorial champion – The Hulk(Ruffalo getting to expand the role's vocabulary, personality, and tragedy/pathos – albeit not far enough. It doesn't extend to properly exploring what he's been doing, fighting beings no match for him, previously invariably to the death, despite him leaving Earth was literally specifically to flee this exact thing. They stopped short of where the comic went with it, sadly. The supporting players are appreciated, though).This trilogy has gotten a lot of criticism from the onset, some of it deserved, a lot of it borne out of the natural difficulties with making this kind of world work, especially within the gritty, realistic one Iron Man set up. In this entry, Earth is nearly completely absent, and certainly the only human who has screen-time is Dr. Strange, who is also ""beyond"". Yes, Jane Foster, Darcy and Erik Selvig are gone. Broken up off-screen. I hate that. However, with this newfound freedom, this goes full cosmic. The tone approaches Guardians of the Galaxy. It's superior to Vol. 2, but not up to the level of the original. Honestly, a few minor things seem to be there specifically to redo that, and they'd be better left on the cutting room floor. The jokey subversion/drama mix is not as strong as that, nor of the third Robert Downey Jr. solo picture. With that said, relatively little of the actual weight is lost to laughs. This still has gravity and tension. The action is fast, frequent and enjoyable, if also by far the most MCU aspect of this. Many will find this to be bland, not fun, a corporate product. Certainly, there's still a lot of room for diversity and flavor. Fingers crossed that Black Panther will push the envelope there.I recommend this to anyone who finds the trailers appealing. You can go into this completely blind. Stay through the credits. 8/10"
24 October 2017,coreyjdenford,53,97,8,Bring The Thunder,"This review of Thor: Ragnarok is spoiler free**** (4/5)LIKE CHANTING BETELGUISE'S name, for Marvel products the phrase third time's a charm really works, of course well-earned nods to brother directors Anthony and Joe Russo's Captain America: Civil War which accomplished all fears for its enchanting, eye-shattering Leipzig airport battle scene having the heroes involved showing what they can do, the standout there was Black Panther and the introduction of the newer, younger much improved Spider-Man. Then we had Shane Black's turn at Iron Man 3 which vastly improved on its predecessor. Now the third and final entry in the Thor series is one of the most ridiculous, most hilarious adventures Marvel has ever produced, it's essentially like eating a badger sandwich, and no we don't know what that is either. This daftness comes from none other than New Zealand-born director Taika Waititi, who over the last few years has created some of the most bizarre adventures ever told in cinema with his hilarious vampire-mockumentary What We Do In The Shadows and secondly Hunt For The Wilderpeople which had a stunning performance from Sam Neill in a hat made from a collinder. However Thor: Ragnarok is his most ridiculous adventure yet.After Chris Hemsworth's Thor is hurled from the bifrost he's captured on a strange planet which from first glance is obviously the universe's trash can, under the rule of Jeff Goldblum's daft, yet tyrannical Grandmaster who looks like he just wears anything he finds in the 80s factory complete with a blue line under his lip and comes with a lot of Goldbluminess, he's funny as hell - he gives Thor the ultimate fight against his champion - Hulk's (Mark Ruffalo) welcome is really no surprise but comes with a roundhouse of applause particularly with the well-drawn hand-to-hand combat in a Star Wars-esque gladiatorial coliseum which can't escape Thor's scream of joy and a few quick-witted jokes to get you going. Meanwhile on the other side of the universe the Asghardians are held for a fight for their survival after a vicious attack from Cate Blanchett's goddess of death Hela looking a tad like Alice Cooper's twisted sister complete with a horned helmet for ferocity. Sadly her performance is the film's weakest point, she doesn't exactly come with Galadriel's strength or depth she's not Marvel's best villain, though a better improvement over Thor: The Dark World's Dark Elves. She's not in many scenes and when she does appear her delivery is often heavy-handed and empty with little feeling.The script penned by Eric Pearson, Craig Kyle and Christopher Yost is an improvement over the previous instalment too - the funnier scenes are along the same lines as James Gunn's unadulterated joy for Guardians of the Galaxy Volume 2, here there are arse gags and penis gags aplenty which is a vast improvement over the previous two films' barrier for serious face the actors are allowed to let loose here. Particularly the shared chemistry between Thor who hates having his hair cut, Hulk angry as ever and Tessa Thompson's surly Valkyrie who can't stop drinking yet comes with a humanizing story giving her performance some emotion. Yet there's humour to them too they each share their time with the whims and the jokes that the script has to offer, the three arguing in a room with an angry Hulk and a teamed final fight are obvious standouts. Sadly, Thor: Ragnarok doesn't come without its flaws it's not utterly thunderous throughout the last few minutes of the final fight are a little CG heavy there's a lot going on in a few shots it can be difficult to follow a certain point which watching in 3D can be on occasion daunting to the eyes. Though there is some goodness the CG images on show, here the destruction of Asghard though upsetting for the fans who have stayed with the series is thoroughly stunning plus this is the most impressive vision of Hulk yet, he's still a wonder to watch from the outrageous gladiatorial combat, through the hilarious jokes he lets free to the film's final fight he's relentless and utterly charming. This is vintage Waititi he is clearly at home here in the huge immersive worlds of space or the cramped space of Hulk's chamber he allows you to breathe with the world he has created here. The finale of the Thor series is one of the most intense, boldest adventures Marvel has ever created does it bring on the thunder? You're damn right it does.VERDICT Daft, ridiculous and hilarious Waititi manages to retain his unique brand of humour and goofball madness in this neon-infused 80s style finale."
31 October 2017,PyroSikTh,44,80,8,Welcome to the Marvel Cosmic Universe!,"Okay so the first thing to note about Ragnarok, which if you have enough brain cells you'd guess yourself after seeing the trailer, is that it's nothing like the previous two Thor movies, beyond sharing some characters and settings. The tone is completely different. In fact it's probably better to compare Ragnarok to Guardians of the Galaxy with it's straight comedy angle and influx of neon colours and whacky concepts. This is the new world order for Marvel's Cosmic Universe in full swing. How this makes me feel isn't quite so clear. As I said, I really didn't mind the other Thor movies, and to see the brooding seriousness get thrown out entirely, particularly in a movie about the end of days, seems like a misplaced choice. That said this is what Waititi does best, and he's on top, What We Do in the Shadows form here.Ragnarok is jam-packed full of jokes and gags, and every single one of them lands with aplomb. From Thor asking Surtur to pause while he helplessly spins around at the beginning, to the Grandmaster declaring a tie in Sakaar's revolution, each and every slither of humour is guaranteed to earn a laugh. It's typical Waititi humour; awkward, modern, and using juxtaposition to great effect. Korg, a large being made of rocks, talking about his revolution failing because he didn't hand out enough pamphlets hits so hard because it's so against what you'd expect from that kind of alien.Waititi's also in his element with running jokes, coming into a franchise nearly twenty movies in full of continuity to adhere to, poke fun at, and address in one way or another. Loki taking Odin's place in Asgard is dealt with swiftly, with a couple of gags thrown in, including surprise cameos. Hulk disappearing at the end of Age of Ultron is addressed with heartbreak and a couple of touching moments between Thor and Hulk/Banner. And Hela knocking over the Infinity Gauntlet in Asgard's vault because it's ""fake"" was a great way to plug such a tiny yet significant plot hole.Despite how humorous Ragnarok is, it doesn't shy away from more serious themes and ideas though. Thor's companions in the Warriors Three are dispatched of quickly and without remorse, Hela raising an army of the dead from the Asgard crypts is a pretty dark idea, and of course there's the whole Ragnarok thing. Not only is this movie one of the funniest entries in the MCU, but it also has some of the biggest stakes so far. By the end of the film, Thor's life is permanently changed in a massive way. But Ragnarok is still not perfect. It still doesn't quite reach the heights of either of the Guardians movies or Winter Soldier. It's opening act feels a little messy, rushing through plot points to get to the meat of it. Thor's tied up in chains at the behest of Surtur, now he's in Asgard unveiling Loki, now he's with Doctor Strange looking for Odin, now he's in Norway bracing for Hela's arrival, now he's on Sakaar about to face the Grandmaster's champion. It's almost all rushed, and some of it feels pointless. Like, Doctor Strange's role is completely unnecessary. He's just put in for an Earthling presence in a movie that frankly didn't need it.Hela is also another in a long line of lacklustre MCU villains. She's the first female villain to pose as the main antagonist, which is great, and Cate Blanchett is perfect for her (I think I'm in love). She has an interesting backstory, but it's never really developed. Hela ends up just becoming another two-dimensional mustache- twirling villain with a plan that's flawed from the offset and no motivation beyond just being evil. Her being the Goddess of Death is never really capitalised on either, outside of her resurrecting dead soldiers of Asgard's crypts reasonably early on.That said, almost every other character is great. Thor's sense of humour is brought to the forefront with some surprisingly great comedic chops from Hemsworth, without it taking away from his more serious moments. He's still Thor despite the tonal shift around him. Likewise, Loki is the same old Loki, with his tricks and betrayals, and his history with Hulk is played up to perfection. Valkyrie and Skurge both enjoy character arcs that help to develop them, and both Tessa Thompson and Karl Urban make their mark on the movie. Waititi even gets to add some of himself into the movie as Korg, who promises to steal every scene he's in. And of course Mark Ruffalo manages to play Hulk completely by himself for the first time and gives us the best Hulk we've ever had.Ragnarok is another part of Marvel's current hot streak, and here's hoping it continues just a little bit longer at least. It's a massive tonal shift from the rest of the Thor franchise, feeling closer to the Guardians franchise, which is a win/lose depending on your point of view. The music is a step in the right direction, utilising Led Zeppelin's Immigrant Song really well, as well as adding some 80's synth/video game music underneath Marvel's standard, dull strings arrangements, but it's largely still unmemorable and unremarkable. The visuals are fantastic, employing a style closer to Snyder's approach in the DCEU than Marvel's usual grey realism, which I personally consider a massive plus. But of course it's the humour that keeps Ragnarok afloat, and the massive stakes leave me begging to find out what happens next. I give Ragnarok a high 8/10. Easily the best Thor movie so far.P.S. Where was Sif?!"
20 June 2020,alcantaraj-16594,3,3,7,TOO MANY JOKES,"While better than other MCU solo movies like ""CA: The First Avenger,"" ""Doctor Strange"" and ""The Incredible Hulk"" and pretty much as good as ""Guardians of the Galaxy, ""Thor: Ragnarok"" has one major flaw that really bothers me: There are too many jokes, even in serious moments.
Also, please bring back Cate Blanchett. She's fantastic in this film and I wish that her character survived"
29 October 2017,FallenEye,90,172,7,"RagnaRock, Paper, Scissors?","There are two ways one can take oneself too seriously: 1. The Twilight Saga way or 2. The Dark Knight Trilogy way. What I mean is, Twilight was silly in taking itself seriously, because seriously, it didn't have the maturity required, both because of its directors and cast, to portray the necessary emotion for the desired results of profoundness. The Dark Knight Trilogy on the other hand, is like age old whisky; Swirl, smell, sip and swallow.Thor: Ragnarok could've taken itself seriously in the good way, but rather than doing that, it didn't take itself seriously at all, unnecessarily so, and ended up becoming a good thing still, but in a bad way. It's weird and begs the question(s); Is Marvel bending to its fans' will, or is Marvel forcing its fans to bend to its will? Is Marvel being smart and trying to revolutionize Comic Book Cinema, or stupid, and completely losing the plot?Tension is one of storytelling's best and greatest tools, and Marvel seems to be slowly abandoning it, for another great tool, humour. However, is this Marvel's doing, or is it the fans/critics/audience? Captain America: The Winter Soldier: Serious, dark and amazing = $714 Million Box Office, 89% from critics and 7.8 IMDb. Guardians of the Galaxy: Colourful, silly, funny = $773 Million Box Office, 91% from critics and 8.1 IMDb. GotG beat TWS (even though TWS is a sequel, and sequels tend to do more, and, our first look at Steve after The Avengers) in every way according to numbers, but was GotG actually the better film? Batman Begins, Captain America: The First Avenger, Man of Steel and X-Men: First Class suffered similar fates.I love dark, serious, tense. Ragnarok is not that for the most part, but it's still a good watch. There is a lot that is good about this movie, like Thor and Loki's moment in the elevator, but there is also a lot that is bad too, like the fact that for 4 years we've wondered how Thor would react to Loki's impersonation/imprisonment of Odin, and what we got left much to be desired.I think Ragnarok took a very different approach here, and, because of Marvels appeal and reach, it maybe shaking something loose. Also, they could afford to take this route with Thor, as it is the least received franchise, so, they perhaps didn't have much to lose, and more/everything to gain.Ragnarok being this ""light"" also, could work very well for Infinity War, as long as IW is ""hella"" dark. The contrast maybe a very welcomed surprise.I will say this though, if Infinity War takes Ragnarok's path, it will undoubtedly, dismantle its opportunity of being a legendary classic, that has been 11 years and 18 movies in the making.Personally I think that at this point, it may be difficult to judge any MCU film by itself, because each installment is now telling the stories of something bigger, so when you factor that in, there maybe more to what meets the eye.Anyway, in the spirit of judging each on its own merit, Thor: Ragnarok; 7/10."
28 October 2017,EthanBJones_03,35,63,8,Recommended,"​*THIS REVIEW'LL BE MOSTLY SPOILER FREE. I'LL TELL YOU BEFORE A SPOILER*'THOR: RAGNAORK' - 2017Directed by Taika_Waititi{Hunt for the Wilderpeople}Starring Chris_Hemsworth{In the Heart of the Sea}, Cate_Blanchett{Carol} and Tom_Hiddleston Kong: Skull Island}Plot_Overview: Imprisoned on the other side of the universe, the mighty Thor finds himself in a deadly gladiatorial contest that pits him against the Hulk, his former ally and fellow Avenger. Thor's quest for survival leads him in a race against time to prevent the omnipotent Hela from destroying his homeworld and the Asgardian civilisation.So far, I've been disappointed by Thor's solo outings. The first was average at best and I consider The Dark World to be a quite frankly awful movie. Therefore, I had NO expectations going in and ignored the overwhelmingly positive reviews. But after watching it, I loved it. And while I don't agree that it's this legendary titan of cinema that some are declaring it as, I certainly think that it's a VERY fun and enjoyable way to spend a couple hours of your time. If you like superhero movies, be sure to check it out.What SPECIFICALLY is good about this film? The drastic change in tone and style is probably by biggest praise. For me, Thor's previous outings have been dull and monotonous chores to get through so the new focus on comedy was welcome to me. And thankfully a lot of the jokes hit bullseyes. I was laughing constantly throughout this movie; it was a genuine COMEDY.The action sequences in this movie were excellent and thoroughly entertaining. They were also, thankfully, well shot; like the rest of this movie. 'Thor: Ragnarok' is an excellently shot, edited and lit movie. Javier Aguirresarobe does an EXCELLENT job in shooting this movie. Combine this with the jaw dropping effects and 3D and you have one heck of a good looking movie.Chris Hemsworth was an actor I didn't like before. I've always thought he was very one note and had a limited range. This movie proves otherwise. Hemsworth does excellent in the action sequences of this movie, but also has an excellent sense of humour and fulfils the quota for a couple dramatic moments reasonably well. I commend the man for proving me wrong. Accompanying Thor is his quirky brother, Loki, as portrayed by Tom 'Hiddlesticks' Hiddlseton. Hiddlesticks was great in 'Thor', eh in 'Avengers Assemble', okay in 'Thor: The Dark World' and, I'm pleased to announce, great in Ragnarok. Hiddlesticks delivers his best performance of the year(screw Skull Island) and returns to form as the extremely charismatic Loki, that we all love to hate. Mark Ruffallo{Avengers Assemble} also co-starred. Granted, he is Hulk for the majority of the run time but for the moments he's not, he does a great job. Expanding on the decision to include Hulk, I liked it. They certainly give Hulk a lot more personality, and make him feel a lot more relevant to the plot, unlike in other movies. Hulk is now a CHARACTER, no longer a giant green monster that smashes stuff. But don't worry, he is still a good smasher. Tessa Thompson{Selma} also appears in the movie as Valkyrie. Thompson does a reasonable job as this character and succeeds in the action segments of the movie. Alas, I don't think she was that good in the more sombre moments, or at making jokes. Jeff Goldblum is my spirit animal. I love the man as an actor and I thought he was pitch perfect in this movie. He's one of the brighter spots of the movie, despite not appearing in it THAT much.As for issues, I unfortunately have a couple. Firstly, the story was very weak and the conclusion unsatisfying. The concept of 'Ragnarok' is a TERRIFYING idea, especially for the characters on screen. But it's not really that important to the plot. In fact, it's brought up at the start and then once more at the very end. So I don't really see the point in labelling the film as it. The actual story that we got was a very dull one. I wasn't expecting much but the story was so meaningless and pointless that I really wish more time was put into it. Furthermore, I also hated the conclusion of this movie. I was very disappointed about something. The thing I was disappointed about is TECHNICALLY a spoiler so if you have watched the movie, please read on. But if not, then please skip to the next paragraph from now!!!! Right, the thing that I wish happened but did not, was that I wish that Thor_would have been killed off. I know that may seem morbid but it's true. 'Ragnarok' means the end of everything, so what better of a way to have one of the movies that lead into Infinity War, have a main character die. It'd bring stakes back to this universe and give the Avengers something to Avenge. And I think it's be an EXCELLENT way to wrap this film, and Thor's saga, up.Okay, there are no more spoilers no so feel free to read on. My second major issue with this movie is Cate Blanchett and the villain. I understand that Marvel's villains aren't typically good, but even by their standards: this was pretty poor. Hela, who is the GODDESS OF DEATH, is the villain of this movie and guess what she does? Sit in corner for the entire movie and contribute NOTHING to the plot. There was no point to her being there. In fact, I believe this film would've been better without a villain, and just have it be a buddy comedy. Blanchett wasn't AWFUL as Hela but she wasn't that good. It was a passable performance.Overall, I liked this movie. It was fun and a passable way to end the Thor saga. I definitely recommend you watch. I'll rate it 8 'Haircuts' out of 10!"
25 October 2017,mjplysaght,53,96,9,Now THAT'S how you make a Thor film!!,"Out of the MCU films, I felt that the first two Thor films were among the weaker installments. They took them a little too seriously and they were a tad grandiose, full of Shakespearean overtones.This film goes in a whole new direction though. The humour throughout is pitch perfect and there is much-needed levity over the course of the motion picture. The lack of Natalie Portman and her scientist friends is a massive bonus and allows the story to flow rather than being bogged down with Thor's forced fish-out-of-water/romance story from the previous two films.Cate Blanchett comes to the forefront as Hela, the villain of the piece, hell bent on conquering Asgard. Blanchett is having the time of her life portraying the malevolent Goddess of Death. Thor and Loki must put aside their differences and try to stop her. Hemsworth and Hiddleston are on top form as ever and the added humour makes their dynamic more enjoyable.They end up getting sidetracked and captured by Jeff Goldblum, playing the Grandmaster (but really it's Goldblum playing himself) who forces Thor into fighting Hulk/Banner in a Colosseum-like arena. Thor gains the trust of Valkyrie (Tessa Thompson) and from there, it's your classic good fights evil scenario.Taika Waititi pulls out all the stops here, as director, adding a lot of charm and fun to the film. The set design and overall aesthetic is also great as well, a real '80s neon feel. And the music...the music was brilliant! Who would've thought that the composer for Rugrats would deliver such an awesome soundtrack!I left the cinema with a big grin on my face. Great return to form for the God of Thunder!!!"
1 November 2017,brankovranjkovic,35,65,9,THOR Ragnarok – the best of the 3 standalone's,"This is the third standalone Marvel 'Thor' film, a swashbuckling superhero fantasy that continues directly after where 'The Dark World' ends. The premise is that Asgard is in peril, Thor's objective is to prevent the destruction of his home planet. This film introduces the villain 'Hela', she is the Goddess of Death, she is also Thor's sister, who has been in exile for many years and appears to be a very powerful character, possibly more powerful than Thor! During a particularly colourful action sequence, Thor is transported to a remote 'dump' of a world, on the other side of the Universe, this planet is full of rubbish and discarded people and is ruled by the weirdo 'Grandmaster' outstandingly played by Jeff Goldblum. In order for Thor to get back, he first needs to beat the champion gladiator, who happens to be the 'HULK'. This is also the point where we're introduced to another excellent show stealing character, 'Korg', voiced by the director Taika.The entire film is full of relentless adult comedy sketches and humorous dialogue, which was inspired by the humour and success of Guardians of the Galaxy. With a great soundtrack, this is a hugely entertaining film that balances humor with drama. Highly recommended."
5 November 2017,Veritas99,77,146,1,Biggest disappointment ever,"If I wanted (which I DON'T) to see a movie with clowns, I would go to one. I am sorry I didn't read the reviews, I would have a hint... Anyway, transforming Thor in a goofy clown, and all the lousy jokes in an apparently serious situation (Asgard in danger, etc...) made me sorry for the money I paid for the ticket. I didn't want a lousy comedy, I wanted a Thor sequel, and I got a stew made from old Thor recipe plus goofy jokes - apparently they wanted to touch all possible segments of audience - they could include some porn and some vampires and they would have everything. I hope the actors got some fat paychecks, as a consolation for degrading themselves for playing in this one."
